HEADER	
'time'	'pressure drop'
UNITS	
'hour'	'bar'
14.817	0.10863
14.833	0.10971
14.85	0.10789
14.867	0.10837
14.883	0.10892
14.9	0.1089
14.916	0.10813
14.933	0.11638
14.95	0.1097
14.967	0.10927
14.983	0.10908
15	0.10859
15.017	0.10855
15.033	0.1082
15.05	0.10893
15.066	0.10835
15.083	0.10861
15.1	0.10891
15.117	0.10864
15.133	0.10866
15.15	0.10996
15.167	0.10879
15.183	0.10838
15.2	0.10858
15.216	0.10872
15.233	0.10841
15.25	0.10824
15.267	0.10869
15.283	0.10808
15.3	0.10883
15.317	0.10837
15.333	0.10949
15.35	0.10885
15.366	0.10842
15.383	0.10819
15.4	0.10889
15.417	0.10875
15.433	0.10892
15.45	0.1089
15.467	0.11078
15.483	0.10867
15.5	0.10937
15.516	0.1085
15.533	0.10892
15.55	0.1084
15.567	0.10919
15.583	0.10919
15.6	0.10939
15.617	0.10828
15.633	0.10899
15.65	0.10915
15.666	0.1079
15.683	0.1075
15.7	0.10873
15.717	0.1086
15.733	0.10766
15.75	0.1075
15.767	0.10849
15.783	0.10867
15.8	0.10797
15.816	0.10788
15.833	0.10754
15.85	0.10781
15.867	0.10728
15.883	0.10809
15.9	0.10797
15.917	0.10804
15.933	0.10756
15.95	0.10816
15.966	0.10788
15.983	0.10733
16	0.10892
16.017	0.10608
16.033	0.1067
16.05	0.10748
16.067	0.10726
16.083	0.10749
16.1	0.10717
16.116	0.10706
16.133	0.10696
16.15	0.10638
16.167	0.10752
16.183	0.10641
16.2	0.10685
16.217	0.10631
16.233	0.10605
16.25	0.10631
16.267	0.10684
16.284	0.1068
16.3	0.10654
16.317	0.10676
16.333	0.10786
16.35	0.10703
16.367	0.10715
16.384	0.10648
16.4	0.10723
16.417	0.10766
16.434	0.1072
16.45	0.10668
16.467	0.10714
16.483	0.10725
16.5	0.10636
16.517	0.10724
16.534	0.10755
16.55	0.10823
16.567	0.10699
16.584	0.10677
16.6	0.10681
16.617	0.10688
16.633	0.10695
16.65	0.10654
16.667	0.10771
16.684	0.10643
16.7	0.10697
16.717	0.10747
16.734	0.10663
16.75	0.10757
16.767	0.10742
16.783	0.10714
16.8	0.10589
16.817	0.10707
16.834	0.10703
16.85	0.10688
16.867	0.10759
16.884	0.10704
16.9	0.10668
16.917	0.10667
16.933	0.10709
16.95	0.10667
16.967	0.10674
16.984	0.10677
17	0.1066
17.017	0.10607
17.034	0.10715
17.05	0.10582
17.067	0.10648
17.083	--
17.1	0.10763
17.117	0.10722
17.134	0.10735
17.15	0.10798
17.167	0.10796
17.184	0.10727
17.2	0.10693
17.217	0.1073
17.233	0.10768
17.25	0.10768
17.267	0.10759
17.284	0.10797
17.3	0.10725
17.317	0.10786
17.334	0.10792
17.35	0.10723
17.367	0.10752
17.383	0.10774
17.4	0.1078
17.417	0.10742
17.434	0.1073
17.45	0.10777
17.467	0.10773
17.484	0.1079
17.5	0.10786
17.517	0.10774
17.533	0.10721
17.55	0.10815
17.567	0.10753
17.584	0.10742
17.6	0.10809
17.617	0.10772
17.634	0.10692
17.65	0.10819
17.667	0.10708
17.683	0.10754
17.7	0.10811
17.717	0.10751
17.734	0.10708
17.75	0.10665
17.767	0.10748
17.784	0.1073
17.8	0.10686
17.817	0.10809
17.833	0.1077
17.85	0.1072
17.867	0.10766
17.884	0.10709
17.9	0.10763
17.917	0.10693
17.934	0.10726
17.95	0.10747
17.967	0.1074
17.983	0.10766
18	0.10752
18.017	0.10841
18.034	0.10702
18.05	0.10672
18.067	0.10702
18.084	0.10706
18.1	0.10756
18.117	0.10734
18.133	0.10766
18.15	0.10806
18.167	0.10769
18.184	0.10711
18.2	0.10756
18.217	0.10678
18.234	0.10806
18.25	0.10722
18.267	0.10749
18.283	0.10771
18.3	0.10729
18.317	0.10727
18.334	0.10754
18.35	0.10711
18.367	0.10738
18.384	0.10827
18.4	0.1076
18.417	0.10808
18.433	0.10713
18.45	0.10731
18.467	0.10812
18.484	0.10743
18.5	0.10778
18.517	0.10732
18.534	0.10727
18.55	0.10806
18.567	0.10768
18.583	0.10736
18.6	0.10815
18.617	0.10844
18.634	0.10737
18.65	0.10702
18.666	0.10685
18.683	0.10696
18.7	0.1086
18.717	0.10867
18.733	0.10754
18.75	0.10738
18.767	0.10741
18.783	0.10725
18.8	0.10793
18.816	0.10753
18.833	0.10705
18.85	0.10764
18.867	0.10725
18.883	0.10701
18.9	0.1063
18.917	0.10679
18.933	0.10694
18.95	0.10715
18.966	0.10662
18.983	0.10681
19	0.1069
19.017	0.1067
19.033	0.1077
19.05	0.10657
19.067	0.10696
19.083	0.10616
19.1	0.106
19.116	0.10601
19.133	0.10618
19.15	0.10678
19.167	0.10775
19.183	0.10651
19.2	0.10685
19.217	0.10735
19.233	0.10681
19.25	0.10791
19.266	0.10569
19.283	0.10559
19.3	0.10667
19.317	0.10509
19.333	0.10486
19.35	0.10525
19.367	0.10547
19.383	0.10505
19.4	0.10507
19.416	0.10509
19.433	0.10481
19.45	0.10461
19.467	0.10435
19.483	0.10471
19.5	0.10508
19.517	0.10529
19.533	0.10461
19.55	0.10422
19.566	0.10484
19.583	0.10456
19.6	0.10487
19.617	0.10436
19.633	0.10438
19.65	0.10404
19.667	0.105
19.683	0.10437
19.7	0.10443
19.716	0.10451
19.733	0.10434
19.75	0.10419
19.767	0.10473
19.783	0.10708
19.8	0.10605
19.817	0.10575
19.833	0.10607
19.85	0.10616
19.866	0.10562
19.883	0.10686
19.9	0.10536
19.917	0.10579
19.933	0.10589
19.95	0.10537
19.967	0.10529
19.983	0.10601
20	0.1053
